x	f1	f2	f3	f4	f5
0.410000	-0.639677	-0.758578	1.436585	1.128475	0.249723
0.420000	-0.697472	-0.634360	1.436115	1.200121	0.236719
0.430000	-0.736277	-0.502087	1.418906	1.256330	0.222482
0.440000	-0.757194	-0.364262	1.382752	1.294249	0.206875
0.450000	-0.762978	-0.223364	1.325908	1.311058	0.190054
0.460000	-0.757868	-0.081765	1.247365	1.304218	0.172294
0.470000	-0.747247	0.058342	1.147090	1.271806	0.153747
0.480000	-0.737130	0.194995	1.026223	1.212897	0.134220
0.490000	-0.733543	0.326467	0.887177	1.127927	0.112998
0.500000	-0.741863	0.451230	0.733646	1.018985	0.088787
0.510000	-0.766180	0.567883	0.570495	0.889948	0.059788
0.520000	-0.808793	0.675057	0.403532	0.746433	0.023895
0.530000	-0.869872	0.771332	0.239181	0.595534	-0.021004
0.540000	-0.947362	0.855187	0.084065	0.445343	-0.076678
0.550000	-1.037123	0.925006	-0.055467	0.304329	-0.144202
0.560000	-1.133297	0.979164	-0.173815	0.180610	-0.223664
0.570000	-1.228849	1.016153	-0.266576	0.081238	-0.313968
0.580000	-1.316218	1.034767	-0.330903	0.011576	-0.412761
0.590000	-1.387989	1.034276	-0.365742	-0.025154	-0.516484
0.600000	-1.437521	1.014563	-0.371915	-0.028082	-0.620556
0.610000	-1.459466	0.976200	-0.352031	0.001343	-0.719649
0.620000	-1.450134	0.920413	-0.310233	0.059622	-0.808055
0.630000	-1.407691	0.848967	-0.251804	0.141652	-0.880093
0.640000	-1.332201	0.763975	-0.182673	0.241280	-0.930537
0.650000	-1.225514	0.667671	-0.108874	0.351880	-0.955032
0.660000	-1.091056	0.562206	-0.036011	0.466879	-0.950463
0.670000	-0.933535	0.449508	0.031197	0.580173	-0.915253
0.680000	-0.758592	0.331245	0.089268	0.686409	-0.849546
0.690000	-0.572444	0.208903	0.136144	0.781133	-0.755275
0.700000	-0.381515	0.083957	0.171220	0.860823	-0.636073
0.710000	-0.192096	-0.041896	0.195212	0.922843	-0.497050
0.720000	-0.010030	-0.166511	0.209887	0.965370	-0.344434
0.730000	0.159538	-0.287130	0.217704	0.987317	-0.185109
0.740000	0.312364	-0.400348	0.221413	0.988276	-0.026110
0.750000	0.445221	-0.502224	0.223673	0.968502	0.125896
0.760000	0.555960	-0.588546	0.226726	0.928903	0.265065
0.770000	0.643490	-0.655231	0.232183	0.871052	0.386725
0.780000	0.707715	-0.698774	0.240919	0.797169	0.487588
0.790000	0.749422	-0.716708	0.253092	0.710067	0.565810
0.800000	0.770154	-0.707976	0.268258	0.613053	0.620904
0.810000	0.772068	-0.673167	0.285549	0.509772	0.653545
0.820000	0.757785	-0.614568	0.303870	0.404008	0.665294
0.830000	0.730247	-0.536046	0.322083	0.299466	0.658308
0.840000	0.692556	-0.442744	0.339130	0.199553	0.635074
0.850000	0.647814	-0.340665	0.354100	0.107184	0.598195
0.860000	0.598955	-0.236176	0.366229	0.024644	0.550258
0.870000	0.548575	-0.135500	0.374846	-0.046485	0.493769
0.880000	0.498775	-0.044235	0.379306	-0.105320	0.431156
0.890000	0.451049	0.033040	0.378935	-0.151607	0.364800
0.900000	0.406212	0.093074	0.373016	-0.185593	0.297075
0.910000	0.364410	0.134120	0.360826	-0.207862	0.230367
0.920000	0.325191	0.155998	0.341741	-0.219177	0.167063
0.930000	0.287660	0.160042	0.315379	-0.220333	0.109490
0.940000	0.250679	0.148925	0.281760	-0.212065	0.059825
0.950000	0.213097	0.126393	0.241446	-0.195009	0.019974
0.960000	0.173974	0.096909	0.195624	-0.169730	-0.008557
0.970000	0.132779	0.065241	0.146104	-0.136792	-0.024796
0.980000	0.089529	0.036011	0.095216	-0.096874	-0.028405
0.990000	0.044856	0.013251	0.045614	-0.050873	-0.019763
1.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000
